LoggerCode,Year,DayOfYear,Hour,Minute,SiteID,AverageVoltage,SensitID,PulseCountSum
101,2022,264,100,0,9701,12.95,2110,0
101,2022,264,200,0,9701,12.93,2110,0
101,2022,264,300,0,9701,12.92,2110,0
101,2022,264,400,0,9701,12.9,2110,0
101,2022,264,500,0,9701,12.75,2110,0
101,2022,264,600,0,9701,12.69,2110,0
101,2022,264,700,0,9701,12.65,2110,0
101,2022,264,800,0,9701,12.82,2110,0
101,2022,264,900,0,9701,13.47,2110,0
101,2022,264,1000,0,9701,13.76,2110,0
101,2022,264,1100,0,9701,13.8,2110,0
101,2022,264,100,0,9701,12.95,2110,0
101,2022,264,200,0,9701,12.93,2110,0
101,2022,264,300,0,9701,12.92,2110,0
101,2022,264,400,0,9701,12.9,2110,0
101,2022,264,500,0,9701,12.75,2110,0
101,2022,264,600,0,9701,12.69,2110,0
101,2022,264,700,0,9701,12.65,2110,0
101,2022,264,800,0,9701,12.82,2110,0
101,2022,264,900,0,9701,13.47,2110,0
101,2022,264,1000,0,9701,13.76,2110,0
101,2022,264,1100,0,9701,13.8,2110,0
101,2022,264,1200,0,9701,13.64,2110,0
101,2022,264,1300,0,9701,13.63,2110,0
101,2022,264,1400,0,9701,13.62,2110,0
101,2022,264,1500,0,9701,13.59,2110,0
101,2022,264,1600,0,9701,13.59,2110,0
101,2022,264,1700,0,9701,13.62,2110,0
101,2022,264,1800,0,9701,13.26,2110,0
101,2022,264,1900,0,9701,13.08,2110,0
101,2022,264,2000,0,9701,13.05,2110,0
101,2022,264,2100,0,9701,13.03,2110,0
101,2022,264,2200,0,9701,13,2110,0
101,2022,264,2300,0,9701,12.98,2110,0
101,2022,265,000,0,9701,12.96,2110,0
101,2022,265,100,0,9701,12.94,2110,0
101,2022,265,200,0,9701,12.92,2110,0
101,2022,265,300,0,9701,12.91,2110,0
101,2022,265,400,0,9701,12.89,2110,0
101,2022,265,500,0,9701,12.74,2110,0
101,2022,265,600,0,9701,12.69,2110,0
101,2022,265,700,0,9701,12.64,2110,0
101,2022,265,800,0,9701,12.82,2110,0
101,2022,265,900,0,9701,13.53,2110,0
101,2022,265,1000,0,9701,13.84,2110,0
101,2022,265,1100,0,9701,13.72,2110,0
101,2022,265,1200,0,9701,13.64,2110,0
101,2022,265,1300,0,9701,13.63,2110,0
101,2022,265,1400,0,9701,13.62,2110,0
101,2022,265,1500,0,9701,13.58,2110,0
101,2022,265,1600,0,9701,13.59,2110,0
101,2022,265,1700,0,9701,13.63,2110,0
101,2022,265,1800,0,9701,13.26,2110,0
101,2022,265,1900,0,9701,13.09,2110,0
101,2022,265,2000,0,9701,13.05,2110,0
101,2022,265,2100,0,9701,13.03,2110,0
101,2022,265,2200,0,9701,13,2110,0
101,2022,265,2300,0,9701,12.98,2110,0
101,2022,266,000,0,9701,12.95,2110,0
101,2022,266,100,0,9701,12.93,2110,0
101,2022,266,200,0,9701,12.92,2110,0
101,2022,266,300,0,9701,12.9,2110,0
101,2022,266,400,0,9701,12.88,2110,0
101,2022,266,500,0,9701,12.72,2110,0
101,2022,266,600,0,9701,12.67,2110,0
101,2022,266,700,0,9701,12.61,2110,0
101,2022,266,800,0,9701,12.81,2110,0
101,2022,266,900,0,9701,13.54,2110,0
101,2022,266,1000,0,9701,13.82,2110,0
101,2022,266,1100,0,9701,13.75,2110,0
101,2022,266,1200,0,9701,13.64,2110,0
101,2022,266,1300,0,9701,13.62,2110,0
101,2022,266,1400,0,9701,13.62,2110,0
101,2022,266,1500,0,9701,13.59,2110,0
101,2022,266,1600,0,9701,13.59,2110,0
101,2022,266,1700,0,9701,13.63,2110,0
101,2022,266,1800,0,9701,13.26,2110,0
101,2022,266,1900,0,9701,13.09,2110,0
101,2022,266,2000,0,9701,13.06,2110,0
101,2022,266,2100,0,9701,13.04,2110,0
101,2022,266,2200,0,9701,13.01,2110,0
101,2022,266,2300,0,9701,12.98,2110,0
101,2022,267,000,0,9701,12.96,2110,0
101,2022,267,100,0,9701,12.94,2110,0
