LoggerCode,Year,DayOfYear,Hour,Minute,SiteID,AverageVoltage,SensitID,PulseCountSum
101,2022,264,100,0,9702,12.76,3075,0
101,2022,264,200,0,9702,12.74,3075,0
101,2022,264,300,0,9702,12.72,3075,0
101,2022,264,400,0,9702,12.71,3075,0
101,2022,264,500,0,9702,12.54,3075,0
101,2022,264,600,0,9702,12.5,3075,0
101,2022,264,700,0,9702,12.6,3075,0
101,2022,264,800,0,9702,13.17,3075,0
101,2022,264,900,0,9702,13.63,3075,0
101,2022,264,1000,0,9702,13.62,3075,0
101,2022,264,1100,0,9702,13.62,3075,0
101,2022,264,1200,0,9702,13.61,3075,0
101,2022,264,1300,0,9702,13.59,3075,0
101,2022,264,1400,0,9702,13.6,3075,0
101,2022,264,1500,0,9702,13.59,3075,0
101,2022,264,1600,0,9702,13.52,3075,0
101,2022,264,1700,0,9702,13.41,3075,0
101,2022,264,1800,0,9702,12.84,3075,0
101,2022,264,1900,0,9702,12.81,3075,0
101,2022,264,2000,0,9702,12.8,3075,0
101,2022,264,2100,0,9702,12.79,3075,0
101,2022,264,2200,0,9702,12.75,3075,0
101,2022,264,2300,0,9702,12.73,3075,0
101,2022,265,000,0,9702,12.72,3075,0
101,2022,265,100,0,9702,12.72,3075,0
101,2022,265,200,0,9702,12.7,3075,0
101,2022,265,300,0,9702,12.68,3075,0
101,2022,265,400,0,9702,12.65,3075,0
101,2022,265,500,0,9702,12.51,3075,0
101,2022,265,600,0,9702,12.46,3075,0
101,2022,265,700,0,9702,12.57,3075,0
101,2022,265,800,0,9702,13.2,3075,0
101,2022,265,900,0,9702,13.61,3075,0
101,2022,265,1000,0,9702,13.68,3075,0
101,2022,265,1100,0,9702,13.67,3075,0
101,2022,265,1200,0,9702,13.65,3075,0
101,2022,265,1300,0,9702,13.65,3075,0
101,2022,265,1400,0,9702,13.64,3075,0
101,2022,265,1500,0,9702,13.64,3075,0
101,2022,265,1600,0,9702,13.55,3075,0
101,2022,265,1700,0,9702,13.42,3075,0
101,2022,265,1800,0,9702,12.95,3075,0
101,2022,265,1900,0,9702,12.9,3075,0
101,2022,265,2000,0,9702,12.87,3075,0
101,2022,265,2100,0,9702,12.85,3075,0
101,2022,265,2200,0,9702,12.82,3075,0
101,2022,265,2300,0,9702,12.79,3075,0
101,2022,266,000,0,9702,12.76,3075,0
