LoggerCode,Year,DayOfYear,Hour,Minute,SiteID,AverageVoltage,SensitID,PulseCountSum
101,2022,268,2100,0,9734,12.57,1298,0
101,2022,268,2200,0,9734,12.54,1298,0
101,2022,268,2300,0,9734,12.52,1298,0
101,2022,269,000,0,9734,12.49,1298,0
101,2022,269,100,0,9734,12.47,1298,0
101,2022,269,200,0,9734,12.45,1298,0
101,2022,269,300,0,9734,12.43,1298,0
101,2022,269,400,0,9734,12.42,1298,0
101,2022,269,500,0,9734,12.2,1298,0
101,2022,269,600,0,9734,12.18,1298,0
101,2022,269,700,0,9734,12.38,1298,0
101,2022,269,800,0,9734,13.24,1298,0
101,2022,269,900,0,9734,13.31,1298,0
101,2022,269,1000,0,9734,13.73,1298,0
101,2022,269,1100,0,9734,13.44,1298,0
101,2022,269,1200,0,9734,13.07,1298,0
101,2022,269,1300,0,9734,13.45,1298,0
101,2022,269,1400,0,9734,13.16,1298,0
101,2022,269,1500,0,9734,12.69,1298,0
101,2022,269,1600,0,9734,12.47,1298,0
101,2022,269,1700,0,9734,12.66,1298,0
101,2022,269,1800,0,9734,12.61,1298,0
101,2022,269,1900,0,9734,12.58,1298,0
101,2022,269,2000,0,9734,12.56,1298,0
101,2022,269,2100,0,9734,12.53,1298,0
101,2022,269,2200,0,9734,12.5,1298,0
101,2022,269,2300,0,9734,12.47,1298,0
101,2022,270,000,0,9734,12.45,1298,0
101,2022,270,100,0,9734,12.43,1298,0
101,2022,270,200,0,9734,12.42,1298,0
101,2022,270,300,0,9734,12.4,1298,0
101,2022,270,400,0,9734,12.38,1298,0
101,2022,270,500,0,9734,12.15,1298,0
101,2022,270,600,0,9734,12.13,1298,0
101,2022,270,700,0,9734,12.73,1298,0
101,2022,270,800,0,9734,13.37,1298,0
101,2022,270,900,0,9734,13.74,1298,0
101,2022,270,1000,0,9734,13.71,1298,0
101,2022,270,1100,0,9734,13.45,1298,0
101,2022,270,1200,0,9734,13.33,1298,0
101,2022,270,1300,0,9734,12.92,1298,0
101,2022,270,1400,0,9734,12.64,1298,0
101,2022,270,1500,0,9734,12.55,1298,0
101,2022,270,1600,0,9734,12.49,1298,0
101,2022,270,1700,0,9734,12.65,1298,0
101,2022,270,1800,0,9734,12.6,1298,0
101,2022,270,1900,0,9734,12.57,1298,0
101,2022,270,2000,0,9734,12.55,1298,0
101,2022,270,2100,0,9734,12.53,1298,0
101,2022,270,2200,0,9734,12.51,1298,0
101,2022,270,2300,0,9734,12.48,1298,0
101,2022,271,000,0,9734,12.46,1298,0
101,2022,271,100,0,9734,12.43,1298,0
101,2022,271,200,0,9734,12.41,1298,0
101,2022,271,300,0,9734,12.39,1298,0
101,2022,271,400,0,9734,12.37,1298,0
101,2022,271,500,0,9734,12.16,1298,0
101,2022,271,600,0,9734,12.13,1298,0
101,2022,271,700,0,9734,12.7,1298,0
101,2022,271,800,0,9734,13.31,1298,0
101,2022,271,900,0,9734,13.66,1298,0
101,2022,271,1000,0,9734,13.8,1298,0
101,2022,271,1100,0,9734,13.46,1298,0
101,2022,271,1200,0,9734,13.44,1298,0
101,2022,271,1300,0,9734,13.41,1298,0
101,2022,271,1400,0,9734,13.31,1298,0
101,2022,271,1500,0,9734,12.79,1298,0
101,2022,271,1600,0,9734,12.52,1298,0
101,2022,271,1700,0,9734,12.69,1298,0
101,2022,271,1800,0,9734,12.64,1298,0
101,2022,271,1900,0,9734,12.62,1298,0
101,2022,271,2000,0,9734,12.61,1298,0
101,2022,271,2100,0,9734,12.59,1298,0
101,2022,271,2200,0,9734,12.57,1298,0
101,2022,271,2300,0,9734,12.55,1298,0
101,2022,272,000,0,9734,12.52,1298,0
101,2022,272,100,0,9734,12.5,1298,0
101,2022,272,200,0,9734,12.47,1298,0
101,2022,272,300,0,9734,12.45,1298,0
101,2022,272,400,0,9734,12.42,1298,0
101,2022,272,500,0,9734,12.2,1298,0
101,2022,272,600,0,9734,12.18,1298,0
101,2022,272,700,0,9734,12.66,1298,0
101,2022,272,800,0,9734,13.26,1298,0
101,2022,272,900,0,9734,13.72,1298,0
101,2022,272,1000,0,9734,13.7,1298,0
101,2022,272,1100,0,9734,13.45,1298,0
101,2022,272,1200,0,9734,13.45,1298,0
101,2022,272,1300,0,9734,13.44,1298,0
101,2022,272,1400,0,9734,13.34,1298,0
101,2022,272,1500,0,9734,12.79,1298,0
